date,year,month,month_name,quarter,week,day,day_of_week,day_name,is_weekend,year_month
2017-06-25,2017,6,June,2,25,25,6,Sunday,True,2017-06
2017-06-26,2017,6,June,2,26,26,0,Monday,False,2017-06
2017-06-27,2017,6,June,2,26,27,1,Tuesday,False,2017-06
2017-06-28,2017,6,June,2,26,28,2,Wednesday,False,2017-06
2017-06-29,2017,6,June,2,26,29,3,Thursday,False,2017-06
2017-06-30,2017,6,June,2,26,30,4,Friday,False,2017-06
2017-07-01,2017,7,July,3,26,1,5,Saturday,True,2017-07
2017-07-02,2017,7,July,3,26,2,6,Sunday,True,2017-07
2017-07-03,2017,7,July,3,27,3,0,Monday,False,2017-07
2017-07-04,2017,7,July,3,27,4,1,Tuesday,False,2017-07
2017-07-05,2017,7,July,3,27,5,2,Wednesday,False,2017-07
2017-07-06,2017,7,July,3,27,6,3,Thursday,False,2017-07
2017-07-07,2017,7,July,3,27,7,4,Friday,False,2017-07
2017-07-08,2017,7,July,3,27,8,5,Saturday,True,2017-07
2017-07-09,2017,7,July,3,27,9,6,Sunday,True,2017-07
2017-07-10,2017,7,July,3,28,10,0,Monday,False,2017-07
2017-07-11,2017,7,July,3,28,11,1,Tuesday,False,2017-07
2017-07-12,2017,7,July,3,28,12,2,Wednesday,False,2017-07
2017-07-13,2017,7,July,3,28,13,3,Thursday,False,2017-07
2017-07-14,2017,7,July,3,28,14,4,Friday,False,2017-07
2017-07-15,2017,7,July,3,28,15,5,Saturday,True,2017-07
2017-07-16,2017,7,July,3,28,16,6,Sunday,True,2017-07
2017-07-17,2017,7,July,3,29,17,0,Monday,False,2017-07
2017-07-18,2017,7,July,3,29,18,1,Tuesday,False,2017-07
2017-07-19,2017,7,July,3,29,19,2,Wednesday,False,2017-07
2017-07-20,2017,7,July,3,29,20,3,Thursday,False,2017-07
2017-07-21,2017,7,July,3,29,21,4,Friday,False,2017-07
2017-07-22,2017,7,July,3,29,22,5,Saturday,True,2017-07
2017-07-23,2017,7,July,3,29,23,6,Sunday,True,2017-07
2017-07-24,2017,7,July,3,30,24,0,Monday,False,2017-07
2017-07-25,2017,7,July,3,30,25,1,Tuesday,False,2017-07
2017-07-26,2017,7,July,3,30,26,2,Wednesday,False,2017-07
2017-07-27,2017,7,July,3,30,27,3,Thursday,False,2017-07
2017-07-28,2017,7,July,3,30,28,4,Friday,False,2017-07
2017-07-29,2017,7,July,3,30,29,5,Saturday,True,2017-07
2017-07-30,2017,7,July,3,30,30,6,Sunday,True,2017-07
2017-07-31,2017,7,July,3,31,31,0,Monday,False,2017-07
2017-08-01,2017,8,August,3,31,1,1,Tuesday,False,2017-08
2017-08-02,2017,8,August,3,31,2,2,Wednesday,False,2017-08
2017-08-03,2017,8,August,3,31,3,3,Thursday,False,2017-08
2017-08-04,2017,8,August,3,31,4,4,Friday,False,2017-08
2017-08-05,2017,8,August,3,31,5,5,Saturday,True,2017-08
2017-08-06,2017,8,August,3,31,6,6,Sunday,True,2017-08
2017-08-07,2017,8,August,3,32,7,0,Monday,False,2017-08
2017-08-08,2017,8,August,3,32,8,1,Tuesday,False,2017-08
